name,location,link,rooms,bathrooms,construction (m2),terrain (m2),divisa,price MP,Delegacion,colonia,gym,pool,pet,garage,elevador,terrace,garden
"Deptos. en Venta en Balboa, Col. Portales Sur Para Estrenar.","Balboa, Portales, Benito Juárez",/propiedades/deptos.-en-venta-en-balboa-col.-portales-sur-para-56262959.html,2.0,2.0,83.0,83.0,1,3.31, Benito Juárez,Portales,0,0,0,0,1,0,0
"Penthouse en Paseo de Los Laureles, Bosques de Las Lomas","BOSQUES DE LAURELES, Bosques de las Lomas, Cuajimalpa de Morelos",/propiedades/penthouse-en-paseo-de-los-laureles-bosques-de-las-56263199.html,4.0,4.0,475.0,475.0,0,22.0, Cuajimalpa de Morelos,BosquesdelasLomas,1,1,1,1,1,1,1
"Nochebuena, Departamentos Nuevos, Techos Altos, Luz Natural y Acabados de Lujo","Nochebuena, Benito Juárez",/propiedades/nochebuena-departamentos-nuevos-techos-altos-luz-56264011.html,1.0,1.0,72.0,72.0,1,4.36, Benito Juárez,Nochebuena,0,0,0,1,0,0,1
Espectacular Departamento en Polanco,"Polanco, Miguel Hidalgo",/propiedades/espectacular-departamento-en-polanco-56264434.html,3.0,3.0,300.0,300.0,0,28.6, Miguel Hidalgo,Polanco,1,1,0,1,0,1,1
Venta Departamento Parque Reforma - Cumbres - Santa Fe 4 Recamaras,"Parque Reforma, San Mateo Tlaltenango, Cuajimalpa de Morelos",/propiedades/venta-departamento-parque-reforma-cumbres-santa-fe-56264521.html,4.0,4.0,385.0,385.0,1,26.9, Cuajimalpa de Morelos,SanMateoTlaltenango,1,1,0,1,0,0,0
Departamento Venta Basalto Cumbres de Santa Fe Piso Bajo,"Basalto, Cumbres de Santa Fe, San Mateo Tlaltenango, Cuajimalpa de Morelos",/propiedades/departamento-venta-basalto-cumbres-de-santa-fe-piso-56264556.html,3.0,3.0,322.0,322.0,1,17.0, Cuajimalpa de Morelos,SanMateoTlaltenango,1,1,0,1,0,0,0
Venta Departamento Parque Reforma - Cumbres de Santa Fe Excelente Precio,"Parque Reforma, Cumbres de Santa Fe, Cuajimalpa, Cuajimalpa de Morelos",/propiedades/venta-departamento-parque-reforma-cumbres-de-santa-56264572.html,3.0,3.0,318.0,318.0,1,21.0, Cuajimalpa de Morelos,Cuajimalpa,1,1,0,1,0,0,0
Se Vende Departamento Totalmente Remodelado en Condesa Calle Montes de Oca,"MONTES DE OCA 101, Condesa, Cuauhtémoc",/propiedades/se-vende-departamento-totalmente-remodelado-en-condesa-56264613.html,2.0,2.0,125.0,125.0,1,6.65, Cuauhtémoc,Condesa,0,0,0,1,1,0,1
Departamento en Venta en Prolongacion Bosques de Reforma,"Lomas de Vista Hermosa, Cuajimalpa de Morelos",/propiedades/departamento-en-venta-en-prolongacion-bosques-de-56264672.html,3.0,3.0,330.0,330.0,1,11.0, Cuajimalpa de Morelos,LomasdeVistaHermosa,1,1,0,1,0,0,0
Departamento en Venta en Equss,"Olivar de los Padres, Alvaro Obregón",/propiedades/departamento-en-venta-en-equss-56264984.html,2.0,2.0,86.0,86.0,1,4.39, Alvaro Obregón,OlivardelosPadres,1,1,1,1,0,1,1
