name,location,description,link,price,operation,rooms,bathrooms,construction (m2),terrain (m2),estacionamientos
Rione | Departamento en Preventa | Acacías | Benito Juarez,"Mixcoac, Benito Juárez","Exclusivo desarrollo residencial con 16 hermosos departamentos de Diseño funcional, con finos acabados, luz led, cajillos de luz indirecta, cocinas y carpintería dealta gama. Con sólo 6 niveles, y en un concepto Boutique disfruta de tu primer depapartamento de 75. 63. -2 Recámaras. -2 Baños. -2 Estacionamiento. -Sala/Comedor. -Altura de 2. 90. -Balcón 7. 09. precio lista: $4, 965, 000. 00. precio promoción: $4, 468, 500. 00. EasyBroker id: eb-kr5487",/propiedades/rione-departamento-en-preventa-acacias-benito-64313111.html,"MN 4,468,500",venta,,,,,
Departamento en Venta en Tizapan San Angel La Otra Banda,"San Ángel, Alvaro Obregón","Departamento en Venta en Tizapan San Ángel. Departamento en Venta en Rayo Vende Inmobiliaria. ¡Tu nuevo hogar con la calidad de vida que mereces! ""escenaria pedregal"" Hermoso P. H. Exterior totalmente amueblado con muy buen gusto. • 2 recámaras. • 3 baños. • Vistas hermosas, muy iluminado. • Roof garden privado de 130m. • Salón de usos múltiples. • Jardín común. • Estacionamiento para 3 autos. *se vende totalmente amueblado* ¡Listo para estrenar departamento con Rayo Vende Inmobiliaria! ¡Hazlo tuyo, invierte y estrena!, tenemos más de 40 años de experiencia, te asesoramos en todo el proceso de compra con Seguridad, Honestidad y Transparencia. ¡Contáctanos hoy mismo! (55) Ver datos. Ver datos. EasyBroker id: eb-jv4734",/propiedades/departamento-en-venta-en-tizapan-san-angel-la-otra-63524083.html,"MN 9,400,000",venta,,,,,
Baja Precio de Venta Bosques de Las Lomas Estupendo Departamento en Privada del Bosque (Gr),"Bosques de las Lomas, Cuajimalpa de Morelos","¡baja precio de $10, 400, 000 A $9, 250, 000 de pesos! Bosques de las Lomas, Privada del Bosque, estupendo departamento a la venta (gr). Consta de 240m, estancia muy amplia, 3 recámaras, 3. 5 baños, cuarto de lavado y servicio, bodega, 3 estacionamientos, 3 elevadores, mantenimiento $9000 pesos, seguridad privada, excelente estado de conservación. Áreas comunes: alberca gimnasio ludoteca salón de fiestas jardín con asadores y juegos infantiles áreas de mascotas salón de adultos cancha de Basketball. _____________________________________________________codigo de referencia dapVer datos Las medidas son ilustrativas y deben de corroborarse con los títulos de propiedad respectivos y/o las boletas predial. Los precios publicados y la disponibilidad pueden cambiar sin previo aviso por lo que se debe de verificar con la inmobiliaria y los propietarios de los inmuebles. La publicación de la presente información no representa una oferta pública por lo que toda transacción debe de hacerse de forma personal de acuerdo a las practicas comerciales de la inmobiliaria y para poder ser valida requiere de la autorización expresa de los propietarios de los inmuebles.",/propiedades/baja-precio-de-venta-bosques-de-las-lomas-estupendo-64402707.html,"MN 9,250,000",venta,,,,,
"Departamento en Venta Condesa, a 3 Cuadras de Parque México","Condesa, Cuauhtémoc","Vendo Hermoso y Amplio Departamento de 140 m2 en el corazón de la Condesa. Excelente opción para invertir o habitar. Cuenta con 4 habitaciones con amplios closets. 2 baños completos, uno con jacuzzi. Cuenta con 1 lugar de estacionamiento, elevador, portero, amplio cuarto de servico y jaula para tender ropa. Con opción de venta amueblado y equipado con un precio adicional. Tiene una excelente ubicacón a 3 cuadras del Parque México, Av. Insurgentes, metro Chilpancingo, Tiendas y Bancos. EasyBroker id: eb-kv3232",/propiedades/departamento-en-venta-condesa-a-3-cuadras-de-parque-64435935.html,"MN 5,200,000",venta,,,,,
Estrena Departamento de Vanguardia con Amplios y Bellos Espacios,"Del Valle Sur, Benito Juárez","Ciudad de México con mayor proporción de parques y áreas verdes. Los departamentos se entregan terminados con 2 recámaras y opción a hacer la 3ra, 2 baños completos y Roof Garden común. 10 departamentos en 5 pisos. Desde 114 m2 cada departamento cuenta con balcón y ph con terrazas desde 48 m2. interesados contactar en dia Y horario abierto",/propiedades/estrena-departamento-de-vanguardia-con-amplios-y-64371738.html,"MN 5,450,000",venta,,,,,
Venta Departamento Remodelado Roma Norte Baja de Precio,"Roma Norte, Cuauhtémoc","Hermoso departamento en el corazón de la Roma, cerca del parque Luis Cabrera en Venta en excelente estado, remodelado, interior lo cual hace que sea muy silencioso. Es muy iluminado y soleado. Son 68m 2 recámaras, un baño, cocina integral. No tiene elevador ni estacionamiento. Edificio de Época. Baja de precio!!. EasyBroker id: eb-ih3044",/propiedades/venta-departamento-remodelado-roma-norte-baja-de-62040180.html,"MN 2,750,000",venta,,,,,
Departamento PH en Venta o Renta en Be Grand Alto Pedregal,"Pedregal de Carrasco, Coyoacán","Excelente Penthouse en venta en el exclusivo desarrollo Be Grand Alto Pedregal, se puede ofrecer con muebles o sin muebles. Ubicación privilegiada al sur de la Ciudad de México, cerca de plazas comerciales como Gran Sur, Perisur, Plaza Cuicuilco, acceso inmediato a importantes vías como Periférico, Insurgentes Sur, Calzada de Tlalpan, Viaducto Tlalpan. 260 m2 Habitables distribuidos en dos niveles. Nos recibe una amplia estancia sala-comedor, baño de visitas, cocina abierta con barra, área para despensa, cuarto de servicio con baño y cuarto de lavado integrado. Magnífica terraza privada de 60m2 con vista panorámica de la ciudad. En el segundo nivel encontramos, cuarto de tv, tres habitaciones con baño propio cada una y closets, la habitación principal con amplio vestidor y doble lavabo. 3 lugares de estacionamiento, dos bodegas y exclusivas amenidades como Gimnasio, Alberca, Business Center, Juegos Infantiles, área para Mascotas, Salones para Eventos, Junior Lounge, Sports Lounge, Kids Club y Sky Lounge con magnífica vista del sur de la Ciudad. Venta: $Ver datos. ¡No pierda la oportunidad de visitarlo y de vivir en un lugar exclusivo!",/propiedades/departamento-ph-en-venta-o-renta-en-be-grand-alto-63363082.html,"MN 10,500,000",venta,,,,,
"Ultimo Departamento Exterior, con Amplio Balcón a Estrenar","Vertiz Narvarte, Benito Juárez","Desarrollo de solo 11 Departamentos, ubicado en una de las mejores zonas de la Col. Narvarte con una alta plusvalía, se caracteriza por un ambiente tranquilo y zona segura. Con acceso a vialidades importantes como Av. Universidad y Div. Del Norte. A solo 3 cuadras del parque de los venados. Cuenta con amenidades que te encantarán como: lobby, elevador, vigilancia, roof garden comunal y pet friendly donde. los departamentos y los espacios comunes están diseñados para la comodidad de las mascotas y sus. dueños. Departamento exterior ubicado en 3er piso, cuenta con 77m2 totales, distribuidos en: - 69 m2 Habitables. - 8m2 de Terraza. - Sala/comedor con acceso a balcón. - Cocina integral. - 2 recamaras. - 2 baños completos. - 1 Cajón de estacionamiento (no se estorba con vecinos) Además: - Roof Garden Común. -Elevador. -Vigilancia 24 horas",/propiedades/ultimo-departamento-exterior-con-amplio-balcon-a-64433622.html,"MN 3,900,000",venta,,,,,
Departamento Sobre Paseo de Los Tamarindos con Balcon y Amen,"Bosques de las Lomas, Cuajimalpa de Morelos","Departamento en Residencial Armoni House, sobre Paseo de los Tamarindos a unos metros de Centro Comercial Arcos Bosques. 3 recamaras, cada una con baño y vestidor, cuarto de T. V, sala, comedor con acceso a la terraza, cocina cerrada, medio baño de visitas, cuarto de servicio con baño, lavandería, 4 lugares de estacionamiento independientes. Piso 14 con mucha luz natural, el elevador llega directo al departamento, 304 metros. Impecables condiciones de mantenimiento. Remodelado. Mantenimiento $12, 000 pesos mensuales. Armoni House tiene las mejores amenidades de la zona: vigilancia, estacionamiento para visitas, gimnasio, alberca techada, jacuzzi, alberca para niños, jardines, área de juego para niños, salón para adultos con billar, spa, salon de usos múltiples, ludoteca, cancha futbol rápido, área para mascotas y cancha de paddle tenis. EasyBroker id: eb-jx2604",/propiedades/departamento-sobre-paseo-de-los-tamarindos-con-balcon-63699465.html,"MN 16,500,000",venta,,,,,
"Bosques de Las Lomas Bosque Alto, Departamento en Venta (Ao)","Bosques de las Lomas, Cuajimalpa de Morelos","Bosques de las Lomasl, Residencial Bosque Alto, departamento en venta (ao) 325m, sala, comedor, terraza, cocina integral con subzeros incluidos, 3 recámaras, 3. 5 baños, área de lavado y cto de servicio, 3 estacionamientos, bodega, 2 elevadores, vigilancia privada, mant. $11, 000mn. Amenidades: Alberca y jacuzzi, salón fiestas, salón adultos, ludoteca, baños con vapor, etc. _____________________________________________________codigo de referencia Ver datos Las medidas son ilustrativas y deben de corroborarse con los títulos de propiedad respectivos y/o las boletas predial. Los precios publicados y la disponibilidad pueden cambiar sin previo aviso por lo que se debe de verificar con la inmobiliaria y los propietarios de los inmuebles. La publicación de la presente información no representa una oferta pública por lo que toda transacción debe de hacerse de forma personal de acuerdo a las practicas comerciales de la inmobiliaria y para poder ser valida requiere de la autorización expresa de los propietarios de los inmuebles.",/propiedades/bosques-de-las-lomas-bosque-alto-departamento-en-64274220.html,"MN 14,000,000",venta,,,,,
